"Temperature (K)","Heat Flux (W/m^2)"
489.8333812,16044.3
541.2978944,13733.1
592.6486024,11601.5
643.5068305,10247.1
695.2419162,7508.9
748.2387442,2779.5
801.7416694,-2748.59
855.7631624,-9095.05
910.3434098,-16323.3
965.5217364,-24495.4
1021.293802,-33604.5
1077.55803,-43490.3
1134.078701,-53780.8
1190.500203,-63914.8
1246.446208,-73298.4
1301.658942,-81524.8
1356.065599,-88479.1
1409.738478,-94275.4
1462.841697,-99172.7
1515.617948,-103554
1568.303396,-107792
1620.894429,-111881
1673.515243,-116017
1726.167107,-120202
1778.836714,-124415
1831.525963,-128659
1884.252599,-132962