ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
85;0.005;0.063;5947;1189376
86;0.005;0.063;6240;1248055
87;0.005;0.063;6406;1281291
88;0.005;0.063;6526;1305291
89;0.005;0.063;6620;1324059
90;0.005;0.063;6660;1332004
91;0.005;0.063;6696;1339235
92;0.005;0.063;6758;1351589
93;0.005;0.063;6809;1361748
94;0.005;0.063;6879;1375744
95;0.005;0.063;6907;1381469
96;0.005;0.063;6824;1364819
97;0.01;0.063;6800;679972
98;0.01;0.063;9183;918336
99;0.01;0.063;9502;950213
100;0.01;0.063;9738;973788
101;0.01;0.063;9929;992853
102;0.01;0.063;10012;1001157
103;0.01;0.063;10088;1008838
104;0.01;0.063;10227;1022687
105;0.01;0.063;10347;1034653
106;0.01;0.063;10527;1052715
107;0.01;0.063;10636;1063575
108;0.01;0.063;10212;1021215
109;0.015;0.063;;
110;0.015;0.063;11558;770532
111;0.015;0.063;12019;801255
112;0.015;0.063;12358;823835
113;0.015;0.063;12629;841923
114;0.015;0.063;12748;849843
115;0.015;0.063;12861;857418
116;0.015;0.063;13065;871021
117;0.015;0.063;13245;882990
118;0.015;0.063;13531;902038
119;0.015;0.063;13916;927746
120;0.015;0.063;12843;856227
121;0.02;0.063;7254;362685
122;0.02;0.063;;
123;0.02;0.063;9007;450338
124;0.02;0.063;8989;449443
125;0.02;0.063;8643;432166
126;0.02;0.063;9223;461132
127;0.02;0.063;9595;479753
128;0.02;0.063;9134;456688
129;0.02;0.063;9620;480987
130;0.02;0.063;9330;466490
131;0.02;0.063;;
132;0.02;0.063;14899;744937
133;0.025;0.063;;
134;0.025;0.063;7869;314779
135;0.025;0.063;8174;326941
136;0.025;0.063;9022;360896
137;0.025;0.063;7110;284382
138;0.025;0.063;9572;382862
139;0.025;0.063;;
140;0.025;0.063;14449;577954
141;0.025;0.063;;
142;0.025;0.063;15318;612732
143;0.025;0.063;15793;631729
144;0.025;0.063;19583;783304
145;0.03;0.063;10785;359492
146;0.03;0.063;12331;411022
147;0.03;0.063;13285;442850
148;0.03;0.063;13880;462668
149;0.03;0.063;14397;479884
150;0.03;0.063;14675;489180
151;0.03;0.063;14882;496075
152;0.03;0.063;15348;511613
153;0.03;0.063;15795;526490
154;0.03;0.063;16439;547951
155;0.03;0.063;16890;562987
156;0.03;0.063;16979;565968
157;0.035;0.063;11177;319349
158;0.035;0.063;12846;367016
159;0.035;0.063;13850;395701
160;0.035;0.063;14385;411002
161;0.035;0.063;15045;429865
162;0.035;0.063;15378;439371
163;0.035;0.063;15602;445785
164;0.035;0.063;16098;459934
165;0.035;0.063;16506;471586
166;0.035;0.063;17313;494658
167;0.035;0.063;17786;508159
168;0.035;0.063;17976;513602
421;0.005;0.04;5552;1110392
422;0.005;0.04;5689;1137787
423;0.005;0.04;5780;1156073
424;0.005;0.04;5846;1169191
425;0.005;0.04;5894;1178811
426;0.005;0.04;5913;1182548
427;0.005;0.04;5930;1186019
428;0.005;0.04;5958;1191673
429;0.005;0.04;5981;1196291
430;0.005;0.04;6013;1202693
431;0.005;0.04;6026;1205193
432;0.005;0.04;6035;1206962
433;0.01;0.04;7860;785977
434;0.01;0.04;8112;811183
435;0.01;0.04;8282;828233
436;0.01;0.04;8407;840748
437;0.01;0.04;8502;850164
438;0.01;0.04;8539;853938
439;0.01;0.04;8574;857383
440;0.01;0.04;8632;863213
441;0.01;0.04;8680;867960
442;0.01;0.04;8745;874493
443;0.01;0.04;8772;877228
444;0.01;0.04;8785;878508
445;0.015;0.04;9583;638852
446;0.015;0.04;7569;504598
447;0.015;0.04;7862;524164
448;0.015;0.04;8081;538754
449;0.015;0.04;8251;550056
450;0.015;0.04;8356;557074
451;0.015;0.04;;
452;0.015;0.04;10637;709130
453;0.015;0.04;8701;580085
454;0.015;0.04;10802;720141
455;0.015;0.04;11031;735367
456;0.015;0.04;10879;725242
457;0.02;0.04;7822;391100
458;0.02;0.04;8291;414548
459;0.02;0.04;8650;432477
460;0.02;0.04;8906;445303
461;0.02;0.04;9091;454529
462;0.02;0.04;9186;459292
463;0.02;0.04;;
464;0.02;0.04;9486;474308
465;0.02;0.04;9650;482502
466;0.02;0.04;9943;497133
467;0.02;0.04;10072;503625
468;0.02;0.04;12417;620863
469;0.025;0.04;8323;332920
470;0.025;0.04;8862;354479
471;0.025;0.04;9222;368863
472;0.025;0.04;9511;380441
473;0.025;0.04;9690;387618
474;0.025;0.04;9804;392169
475;0.025;0.04;;
476;0.025;0.04;10118;404732
477;0.025;0.04;10306;412239
478;0.025;0.04;10674;426976
479;0.025;0.04;10687;427463
480;0.025;0.04;10688;427530
481;0.03;0.04;8759;291957
482;0.03;0.04;9347;311559
483;0.03;0.04;9674;322453
484;0.03;0.04;10015;333829
485;0.03;0.04;10152;338413
486;0.03;0.04;10256;341874
487;0.03;0.04;;
488;0.03;0.04;10576;352522
489;0.03;0.04;10645;354835
490;0.03;0.04;11193;373103
491;0.03;0.04;11159;371982
492;0.03;0.04;11044;368130
493;0.035;0.04;9174;262105
494;0.035;0.04;9663;276072
495;0.035;0.04;9982;285188
496;0.035;0.04;10350;295707
497;0.035;0.04;10501;300023
498;0.035;0.04;10616;303307
499;0.035;0.04;;
500;0.035;0.04;10836;309606
501;0.035;0.04;11018;314791
502;0.035;0.04;11547;329902
503;0.035;0.04;11559;330269
504;0.035;0.04;11441;326889
757;0.005;0.08;5439;1087881
758;0.005;0.08;6374;1274843
759;0.005;0.08;6600;1320090
760;0.005;0.08;6758;1351635
761;0.005;0.08;6881;1376199
762;0.005;0.08;6933;1386541
763;0.005;0.08;6981;1396107
764;0.005;0.08;7064;1412819
765;0.005;0.08;7134;1426880
766;0.005;0.08;7231;1446294
767;0.005;0.08;7277;1455314
768;0.005;0.08;7287;1457426
769;0.01;0.08;7345;734524
770;0.01;0.08;9437;943676
771;0.01;0.08;9867;986666
772;0.01;0.08;10184;1018436
773;0.01;0.08;10429;1042921
774;0.01;0.08;10536;1053591
775;0.01;0.08;10638;1063774
776;0.01;0.08;10822;1082174
777;0.01;0.08;10986;1098560
778;0.01;0.08;11032;1103208
779;0.01;0.08;11418;1141764
780;0.01;0.08;11479;1147866
781;0.015;0.08;8535;569016
782;0.015;0.08;11932;795497
783;0.015;0.08;12554;836927
784;0.015;0.08;11756;783745
785;0.015;0.08;13371;891416
786;0.015;0.08;13526;901763
787;0.015;0.08;13675;911681
788;0.015;0.08;13946;929726
789;0.015;0.08;14190;945985
790;0.015;0.08;13800;919997
791;0.015;0.08;15467;1031163
792;0.015;0.08;15050;1003301
793;0.02;0.08;9423;471130
794;0.02;0.08;11284;564212
795;0.02;0.08;12494;624678
796;0.02;0.08;13303;665161
797;0.02;0.08;13878;693899
798;0.02;0.08;14217;710861
799;0.02;0.08;14509;725471
800;0.02;0.08;;
801;0.02;0.08;15295;764738
802;0.02;0.08;15920;796023
803;0.02;0.08;16347;817374
804;0.02;0.08;18684;934177
805;0.025;0.08;10046;401858
806;0.025;0.08;12237;489478
807;0.025;0.08;13640;545592
808;0.025;0.08;14505;580197
809;0.025;0.08;15102;604089
810;0.025;0.08;15491;619625
811;0.025;0.08;15858;634302
812;0.025;0.08;;
813;0.025;0.08;16789;671571
814;0.025;0.08;17733;709328
815;0.025;0.08;18217;728698
816;0.025;0.08;18427;737063
817;0.03;0.08;10508;350264
818;0.03;0.08;12992;433060
819;0.03;0.08;14567;485574
820;0.03;0.08;15441;514684
821;0.03;0.08;16082;536059
822;0.03;0.08;16513;550444
823;0.03;0.08;16943;564766
824;0.03;0.08;;
825;0.03;0.08;18031;601041
826;0.03;0.08;19156;638531
827;0.03;0.08;19764;658785
828;0.03;0.08;19903;663449
829;0.035;0.08;10802;308621
830;0.035;0.08;13610;388864
831;0.035;0.08;15305;437273
832;0.035;0.08;16215;463273
833;0.035;0.08;16841;481166
834;0.035;0.08;17343;495509
835;0.035;0.08;17647;504200
836;0.035;0.08;;
837;0.035;0.08;18988;542517
838;0.035;0.08;20298;579946
839;0.035;0.08;21043;601237
840;0.035;0.08;21025;600726
