Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
2, Design 2,1,500,0.01,0.0440732,-0.224491,1.44E-13,40447.3,6.95938,1.23E-05,0.00138646,2.88E+06,2.84E+06,1885.61,67882.1,0.1257,1.00036,500,0.556451,0.952593,2713.9,0.232682,0.020837,0.00144731,0.0431294,0.701905,0.00554003,2131.488934,339.237,-0.000331474,0.000331474
13, Design 13,1,550,0.01,0.0446212,-0.231194,-3.45E-14,44600.7,6.9694,1.23E-05,0.00138784,2.89E+06,2.84E+06,1888.33,67979.9,0.0508851,1.01194,550.002,0.61314,0.952593,2364.69,0.232488,0.0217614,0.000650772,0.0444411,0.700659,0.00227055,1857.221612,295.586,-0.000331951,0.000331951
24, Design 24,1,600,0.01,0.0450998,-0.238947,2.23E-14,48772.6,6.97947,1.23E-05,0.00138929,2.89E+06,2.84E+06,1891.06,68078.1,-0.00503821,1.02181,600.002,0.669997,0.952593,2006.43,0.232319,0.0224813,4.25E-05,0.0454964,0.699661,-0.000227222,1575.848008,250.804,-0.000332431,0.000332431
35, Design 35,1,650,0.01,0.0428739,-0.249169,-1.45E-13,52944.6,6.98954,1.23E-05,0.00139078,2.90E+06,2.84E+06,1893.79,68176.3,-0.00174249,0.972641,650.007,0.726088,0.952593,1654.03,0.233115,0.0219269,7.97E-05,0.0433315,0.701547,-7.47E-05,1299.067412,206.753,-0.00033291,0.00033291
46, Design 46,1,700,0.01,0.065182,-0.263733,-3.11E-13,57623.4,7.00083,1.23E-05,0.00139233,2.90E+06,2.84E+06,1896.85,68286.5,0.00962689,1.37379,699.999,0.791701,0.952593,1125.71,0.225236,0.0268973,0.000248153,0.0641895,0.683429,0.000627499,884.1321373,140.714,-0.000333448,0.000333448
57, Design 57,1,750,0.01,0.103289,-0.277498,-2.73E-13,63013.8,7.01385,1.23E-05,0.00139388,2.91E+06,2.84E+06,1900.37,68413.4,0.0279271,1.78451,749.999,0.865425,0.952593,474.142,0.21216,0.0348948,0.000777864,0.0985531,0.653614,0.00288457,372.3905701,59.2678,-0.000334068,0.000334068
68, Design 68,1,800,0.01,0.152793,-0.292678,1.38E-13,68966,7.02821,1.23E-05,0.00139542,2.91E+06,2.84E+06,1904.26,68553.5,0.0576481,2.08469,799.998,0.946669,0.952593,-276.497,0.195862,0.0441716,0.00212981,0.140696,0.617141,0.00880822,-217.1607072,-34.5622,-0.000334752,0.000334752
79, Design 79,1,850,0.01,0.214944,-0.30907,3.06E-13,75585.3,7.04419,1.23E-05,0.00139697,2.92E+06,2.84E+06,1908.59,68709.3,0.104666,2.30126,849.997,1.03708,0.952593,-1142.6,0.176425,0.0538288,0.0051471,0.189548,0.575051,0.0224972,-897.3959415,-142.825,-0.000335513,0.000335513
90, Design 90,1,900,0.01,0.291181,-0.326871,4.28E-13,83016.7,7.06213,1.23E-05,0.00139855,2.93E+06,2.84E+06,1913.45,68884.3,0.173341,2.45839,899.995,1.13859,0.952593,-2145.46,0.154017,0.062532,0.0110562,0.243441,0.528954,0.0504737,-1685.043485,-268.183,-0.000336368,0.000336368
101, Design 101,1,950,0.01,0.382871,-0.346181,9.48E-14,91419.1,7.08241,1.23E-05,0.00140011,2.93E+06,2.84E+06,1918.95,69082.1,0.263804,2.57365,949.993,1.25331,0.952593,-3307.59,0.128957,0.0687372,0.0211922,0.300184,0.48093,0.101003,-2597.776682,-413.449,-0.000337333,0.000337333
112, Design 112,1,1000,0.01,0.490001,-0.366773,-5.93E-16,100913,7.10532,1.23E-05,0.0014017,2.94E+06,2.84E+06,1925.16,69305.7,0.36964,2.65851,999.99,1.38278,0.952593,-4640.04,0.102005,0.0711935,0.0363103,0.356994,0.433498,0.181124,-3644.278894,-580.005,-0.000338425,0.000338425
123, Design 123,1,1050,0.01,0.608603,-0.389184,2.29E-14,111459,7.13078,1.23E-05,0.00140326,2.95E+06,2.84E+06,1932.05,69553.9,0.478589,2.72015,1049.99,1.52623,0.952593,-6116.27,0.074738,0.0695833,0.0556998,0.410372,0.389607,0.291271,-4803.702512,-764.533,-0.000339637,0.000339637
134, Design 134,1,1100,0.01,0.728191,-0.415349,2.13E-13,122690,7.15789,1.23E-05,0.0014048,2.97E+06,2.84E+06,1939.4,69818.4,0.577093,2.76325,1099.98,1.67828,0.952593,-7645.14,0.049636,0.0648316,0.0768186,0.456246,0.352468,0.420234,-6004.482057,-955.643,-0.000340929,0.000340929
145, Design 145,1,1150,0.01,0.832785,-0.447565,-4.43E-12,133871,7.18488,1.23E-05,0.00140638,2.98E+06,2.84E+06,1946.71,70081.6,0.656001,2.79148,1149.98,1.82848,0.952593,-9078.08,0.0294117,0.0586662,0.0961667,0.490879,0.324876,0.546308,-7129.907359,-1134.76,-0.000342214,0.000342214
156, Design 156,1,1200,0.01,0.908791,-0.48078,-2.35E-12,144199,7.2098,1.23E-05,0.0014079,2.99E+06,2.84E+06,1953.47,70324.8,0.713552,2.80821,1199.99,1.96584,0.952593,-10281.1,0.0156248,0.0526561,0.111161,0.51269,0.307868,0.648469,-8074.772766,-1285.14,-0.000343401,0.000343401
167, Design 167,1,1250,0.01,0.954311,-0.496069,-1.06E-10,153317,7.23181,1.23E-05,0.00140942,3.00E+06,2.84E+06,1959.43,70539.4,0.754021,2.81697,1249.99,2.08605,0.952593,-11224.6,0.00770663,0.047532,0.121447,0.523541,0.299773,0.71957,-8815.748809,-1403.07,-0.00034445,0.000344449
178, Design 178,1,1300,0.01,0.977848,-0.509401,-5.63E-11,161439,7.25142,1.23E-05,0.00141093,3.00E+06,2.84E+06,1964.74,70730.7,0.783459,2.82108,1299.99,2.19263,0.952593,-11976.4,0.00370703,0.0433097,0.12828,0.527378,0.297325,0.766104,-9406.242564,-1497.05,-0.000345383,0.000345383
189, Design 189,1,1350,0.01,0.989169,-0.527766,9.93E-13,168967,7.26959,1.23E-05,0.00141245,3.01E+06,2.84E+06,1969.66,70907.9,0.806393,2.82289,1350,2.29128,0.952593,-12621.3,0.00180582,0.0397736,0.13306,0.527664,0.297696,0.797658,-9912.730132,-1577.66,-0.000346249,0.000346249
200, Design 200,1,1400,0.01,0.994544,-0.550312,3.02E-11,176207,7.28706,1.23E-05,0.001414,3.02E+06,2.84E+06,1974.4,71078.4,0.825341,2.82368,1400,2.38608,0.952593,-13215.2,0.000908042,0.03674,0.136683,0.52643,0.299239,0.820838,-10379.13098,-1651.89,-0.000347081,0.000347081
211, Design 211,1,1450,0.01,0.997147,-0.57543,5.23E-13,183326,7.30425,1.23E-05,0.00141555,3.03E+06,2.84E+06,1979.05,71246,0.841579,2.82402,1450,2.47923,0.952593,-13786.8,0.000474473,0.0340919,0.139616,0.524647,0.30117,0.839177,-10828.1274,-1723.35,-0.0003479,0.0003479
222, Design 222,1,1500,0.01,0.998449,-0.60197,-6.01E-13,190408,7.32134,1.23E-05,0.00141707,3.03E+06,2.84E+06,1983.69,71412.7,0.855778,2.82415,1500,2.57181,0.952593,-14349.9,0.000257805,0.0317553,0.142097,0.52274,0.303151,0.854451,-11270.33798,-1793.73,-0.000348714,0.000348714
233, Design 233,1,1550,0.01,0.999125,-0.629001,-4.76E-12,197494,7.33844,1.23E-05,0.0014186,3.04E+06,2.84E+06,1988.32,71579.5,0.868339,2.82418,1550,2.66431,0.952593,-14910.6,0.00014541,0.0296792,0.144249,0.520882,0.305045,0.867579,-11710.72644,-1863.82,-0.000349528,0.000349528
244, Design 244,1,1600,0.01,0.999489,-0.654964,-3.52E-12,204605,7.35561,1.23E-05,0.00142012,3.05E+06,2.84E+06,1992.97,71746.9,0.879531,2.82414,1600,2.75698,0.952593,-15472.1,8.49E-05,0.0278252,0.146145,0.519141,0.306804,0.879081,-12151.74322,-1934.01,-0.000350346,0.000350346
255, Design 255,1,1650,0.01,0.999692,-0.680422,1.23E-11,211751,7.37286,1.23E-05,0.00142163,3.05E+06,2.84E+06,1997.64,71915.2,0.889552,2.82406,1650.01,2.84995,0.952593,-16035.8,5.12E-05,0.0261633,0.147832,0.517536,0.308418,0.889278,-12594.51928,-2004.48,-0.000351168,0.000351168
266, Design 266,1,1700,0.01,0.999809,-0.699277,-5.36E-11,218940,7.39021,1.23E-05,0.0014231,3.06E+06,2.84E+06,2002.35,72084.4,0.898562,2.82392,1700.01,2.94327,0.952593,-16603,3.18E-05,0.0246682,0.149344,0.516066,0.30989,0.89839,-13039.93429,-2075.37,-0.000351994,0.000351994
277, Design 277,1,1750,0.01,0.999878,-0.709851,-7.38E-13,226174,7.40767,1.23E-05,0.0014245,3.07E+06,2.84E+06,2007.08,72254.8,0.906691,2.82375,1750.01,3.03699,0.952593,-17174.1,2.03E-05,0.023319,0.150706,0.514723,0.311231,0.90658,-13488.49089,-2146.76,-0.000352826,0.000352826
288, Design 288,1,1800,0.01,0.99992,-0.922525,2.33E-12,233455,7.42525,1.23E-05,0.0014259,3.08E+06,2.84E+06,2011.84,72426.2,0.914046,2.82353,1800,3.13109,0.952593,-17750.5,1.33E-05,0.0220982,0.151938,0.513495,0.312455,0.913973,-13941.25722,-2218.82,-0.000353663,0.000353663
